,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,drafted or no,drafted_top10,Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
25,Dante Cunningham,2009,33.0,200.66,203.835,210.82,270.51,88.9,359.41,71.12,341.63,102.965384,4.8,18.0,11.18,3.26,1,0,0.42342402146388464,0.41428155095516156,0.12761505646237692,0.6590064832563207,-0.03583515119533677,0.8259681430395953,-0.5531356586615733,0.42259531973805153,0.493965578845319,-0.9743003537312537,2.15241650391156,-0.26750513694943234,-0.30973901312116314
26,DaJuan Summers,2009,35.0,201.29500000000002,204.47,215.26500000000001,270.51,87.63,358.14,74.93,345.44,110.222856,6.6,15.0,10.94,3.17,1,0,0.4995402311637557,0.4907210805211218,0.5718617757172452,0.6590064832563207,-0.18645932329277784,0.7004462353525068,-0.025837928738967956,0.7690252039419953,1.1434264813659416,-0.2460401857133379,1.3317680286001468,-0.7273241768147916,-1.0639073166547872
27,Sam Young,2009,36.0,196.215,200.025,210.185,267.97,83.82000000000001,351.79,69.85,337.82,101.151016,4.9,10.0,11.47,3.45,1,0,-0.10938944643519564,-0.04435562644060669,0.0641512394259684,0.4546235487371166,-0.638331839585096,0.0728366969170871,-0.7289015686357765,0.07616543553410786,0.331600353215163,-0.9338414555080359,-0.03597943025220917,0.2881095362212113,1.2823940721164937
28,DeJuan Blair,2009,37.0,196.215,199.39000000000001,218.44,270.51,83.82000000000001,354.33,66.04,336.55,125.644984,12.0,18.0,11.5,3.45,1,0,-0.10938944643519564,-0.12079515600656693,0.8891808608992907,0.6590064832563207,-0.638331839585096,0.32388051229125275,-1.2561992985583799,-0.03931119253387164,2.523530899222266,1.9387403183404097,2.15241650391156,0.34558691620438,1.2823940721164937
29,Tyreke Evans,2009,4.0,193.04,196.215,211.455,264.16,86.36,350.52,72.39,336.55,100.243832,7.1,7.0,11.81,3.17,1,1,-0.48997049493454065,-0.502992803836375,0.1910788734987883,0.14804914695830576,-0.3370834953902172,-0.05268521077000135,-0.3773697486873722,-0.03931119253387164,0.250417740400085,-0.04374569459725018,-0.8566279055636228,0.9395198426971361,-1.0639073166547872
30,Derrick Brown,2009,40.0,201.93,204.47,219.71,273.05,90.17,363.22,77.47,350.52,102.0582,8.6,20.0,11.26,3.13,1,0,0.5756564408636233,0.4907210805211218,1.0161084949721106,0.8633894177755295,0.1147890209021026,1.2025338661008493,0.3256938912094343,1.2309317162139184,0.412782966030241,0.563137778751013,2.6995154874525027,-0.11423212366097925,-1.399093229336399
31,Jodie Meeks,2009,41.0,190.5,193.04,194.31,248.92000000000002,93.98,342.9,72.39,321.31,95.707912,8.0,14.0,10.96,3.1,1,0,-0.7944353337340145,-0.885190451666183,-1.5224441864842677,-1.0782484601569375,0.5666615371944225,-0.8058166568925096,-0.3773697486873722,-1.4250307293496463,-0.15549532367530491,0.3203843894117079,1.0582185368296755,-0.6890059234926758,-1.6504826638476056
32,Marcus Thornton,2009,43.0,189.865,192.405,195.58,251.46,83.82000000000001,335.28000000000003,78.74,330.2,87.996848,4.8,14.0,10.73,3.28,1,0,-0.8705515434338822,-0.9616299812321433,-1.3955165524114477,-0.873865525637731,-0.638331839585096,-1.558948103015012,0.5014598011836354,-0.6166943328737795,-0.8455475326034666,-0.9743003537312537,1.0582185368296755,-1.1296658366969787,-0.14214605678035735
33,Chase Budinger,2009,44.0,198.755,200.66,200.66,256.54,97.79,354.33,74.93,331.47,93.439952,10.0,10.0,11.08,3.24,1,0,0.19507539236427832,0.032083903125353544,-0.8878060161201737,-0.46509965659931585,1.0185340534867422,0.32388051229125275,-0.025837928738967956,-0.5012177048057949,-0.35845185571299865,1.1295623538760589,-0.03597943025220917,-0.4590964035599978,-0.4773319694619652
34,Danny Green,2009,46.0,196.215,199.39000000000001,208.28,261.62,83.82000000000001,345.44,73.66,335.28000000000003,94.347136,5.6,15.0,11.3,3.3,1,0,-0.10938944643519564,-0.12079515600656693,-0.12624021168326002,-0.056333787560902966,-0.638331839585096,-0.5547728415183383,-0.20160383871317106,-0.15478782060185114,-0.27726924289792065,-0.6506291679455134,1.3317680286001468,-0.037595617016751015,0.02544689956044843
35,Gani Lawal,2009,46.0,202.565,205.74,213.36,269.24,87.63,356.87,76.2,345.44,103.872568,7.2,17.0,11.93,3.34,1,0,0.6517726505634909,0.6436001396530457,0.3814703246080167,0.5568150159967187,-0.18645932329277784,0.574924327665424,0.14992798123523318,0.7690252039419953,0.575148191660397,-0.0032867963740324207,1.878867012141089,1.169429362629814,0.36063281224206
36,Jack McClinton,2009,51.0,182.245,184.785,189.23,243.84,92.71000000000001,336.55,76.2,320.04,83.91452,6.2,13.0,10.44,3.21,1,0,-1.7839460598323074,-1.8789043360236797,-2.0301547227755443,-1.4870143291953526,0.416037365096983,-1.4334261953279293,0.14992798123523318,-1.5405073574176258,-1.2108692902713176,-0.4078757786062079,0.7846690450592044,-1.6852805098676225,-0.7287214039731758
37,A.J. Price,2009,52.0,184.15,187.96,192.405,246.38,78.74,325.12,66.04,312.42,87.543256,12.4,11.0,10.99,3.22,1,0,-1.5555974307327012,-1.4967066881938718,-1.712835637593496,-1.2826313946761463,-1.2408285279748568,-2.5631233645116915,-1.2561992985583799,-2.233367125825513,-0.8861388390110055,2.10057591123328,0.23757006151826202,-0.631528543509507,-0.6449249258027709
38,Luke Harangody,2009,52.0,198.755,203.2,207.645,269.24,78.74,347.98,68.58,337.82,108.86207999999999,11.2,23.0,11.15,3.33,1,0,0.19507539236427832,0.3378420213891979,-0.18970402871966857,0.5568150159967187,-1.2408285279748568,-0.303729026144167,-0.9046674786099776,0.07616543553410786,1.0216525621433246,1.6150691325546689,3.5201639627639163,-0.32498251693260094,0.276836334071659
39,Patrick Mills,2009,55.0,180.975,184.15,187.96,241.3,83.82000000000001,325.12,69.85,311.15,79.3786,6.9,8.0,10.87,3.1,1,0,-1.9361784792320462,-1.95534386558964,-2.1570823568483615,-1.6913972637145591,-0.638331839585096,-2.5631233645116915,-0.7289015686357765,-2.348843753893498,-1.6167823543467061,-0.12466349104368499,-0.5830784137931515,-0.8614380634421884,-1.6504826638476056
40,Jonny Flynn,2009,6.0,180.975,184.785,193.04,242.57,101.6,344.17,83.82000000000001,326.39,88.904032,6.3,10.0,10.86,3.23,1,1,-1.9361784792320462,-1.8789043360236797,-1.6493718205570875,-1.589205796454957,1.4704065697790605,-0.6802947492054211,1.204523441080444,-0.9631242170777232,-0.7643649197883886,-0.3674168803829905,-0.03597943025220917,-0.8805971901032447,-0.5611284476323699
