Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
1.336818538,1.255116376,0.69878941,0.965580885,-0.337083495,0.951490051,-0.377369749,0.884501832,1.265200401,1.45323354,1.331768029,0.671292069,0.695818725
-0.109389446,-0.273674215,-0.189704029,0.250240614,-0.487707667,-0.052685211,-0.201603839,0.191642064,-0.114904017,-0.084204593,-0.03597943,-1.206302343,-0.477331969
-0.870551543,-0.885190452,-0.316631663,-0.362908189,1.169158226,0.574924328,0.149927981,-0.270264449,-0.76436492,-0.650629168,-0.03597943,-0.918915443,-1.315296751
0.651772651,0.56716061,0.191078873,0.761197951,-0.035835151,0.072836697,-0.025837929,0.076165436,-0.033721404,-0.893382557,-1.677276381,-0.123811687,-0.142146057
1.032353699,1.331555906,1.587282848,1.680921156,-2.144573561,0.323880512,-2.310794758,0.42259532,0.859287337,0.522678881,-0.03597943,0.307268663,0.44442929
-0.109389446,-0.120795156,0.191078873,0.352432081,0.416037365,0.825968143,-0.377369749,0.191642064,-0.19608663,-1.014759252,-0.583078414,-0.42077815,-0.980110838
1.032353699,0.872918728,0.381470325,0.965580885,0.265413193,1.453577681,0.501459801,1.461884972,0.493965579,1.129562354,-0.03597943,0.728769449,-0.728721404
0.72788886,0.720039669,0.69878941,0.761197951,-0.487707667,0.574924328,-0.377369749,0.653548576,1.021652562,-0.772005863,1.878867012,-0.344141644,-0.393535491
1.108469909,1.102237317,1.841138116,1.783112623,-2.144573561,0.44940242,-1.431965209,1.115455088,0.291009047,-1.05521815,-0.856627906,2.242340456,-0.225942535
0.575656441,0.56716061,0.191078873,0.250240614,0.717285709,0.951490051,-0.025837929,0.307118692,0.128643821,-0.650629168,1.331768029,-0.65068767,0.863411681
-1.63171364,-1.649585747,-0.760878382,-1.07824846,-0.035835151,0.072836697,-0.025837929,0.076165436,-0.926730145,-0.650629168,-0.309528922,-0.123811687,-0.142146057
-1.098900173,-1.11450904,-0.824342199,-0.976056993,0.717285709,-0.554772842,0.677225711,-0.616694333,-1.413825822,-1.29797154,-2.224375364,0.288109536,-1.315296751
0.042842973,0.032083903,-0.633950748,0.04585768,-0.186459323,-0.052685211,-0.728901569,-0.385741077,-0.033721404,0.563137779,-0.309528922,-0.497414657,-0.225942535
-0.261621866,-0.350113745,-0.507023114,0.148049147,0.114789021,0.323880512,0.149927981,0.307118692,-0.277269243,0.279925491,1.058218537,1.035315476,-0.89631436
0.88012128,0.872918728,0.381470325,1.16996382,-0.035835151,1.453577681,-1.256199299,0.538071948,0.575148192,0.279925491,-1.130177397,0.632973816,0.779615203
0.195075392,0.184962962,-0.189704029,0.556815016,0.265413193,0.951490051,0.501459801,0.99997846,0.859287337,0.037172102,3.246614471,-0.324982517,-1.650482664
-0.718319124,-0.579432333,-0.316631663,-0.465099657,-0.788956012,-1.18238238,-1.256199299,-1.309554101,0.047461208,-0.529252473,2.425965996,-0.842278937,0.109243378
